Year,Player,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank,Height (inches),Weight,Height ft2,Height in2,Hometown,Home state,"town, state",Birth Zip Code,College,College Wins (1999-2013),College Losses (1999-2013),Conference,DOB,Draft Round,Draft Year,Wonderlic,40 Yard,Ten Yd,Arms,Hands,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2001,Dave Brown,ARI,31,1,0,0,0,0,0,0,0,0,,0,0,0,,0,QB,,,74,,77,230,#N/A,#N/A,Summit,NJ,"Summit, NJ",7901,Duke,44,134,ACC,2/25/1970,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Scottie Montgomery,DEN,24,15,0,0,0,0,0,0,4,27,6.75,0,4,51,12.75,1,WR,14,,115,,73,195,6,1,Shelby,NC,"Shelby, NC",28150,Duke,44,134,ACC,5/26/1978,0,0,0,4.57,0,0,0,36,36,117,4.11,7.16
2010,Ben Patrick,ARI,26,15,7,0,0,0,0,0,0,0,,0,15,123,8.2,0,TE,12,,58,,75,252,6,3,Savannah,GA,"Savannah, GA",31401,Duke,44,134,ACC,8/23/1984,7,2007,0,4.74,0,0,0,0,34.5,111,4.31,7.21
2012,Thaddeus Lewis,CLE,27,1,1,22,32,204,1,1,1,3,3,0,0,0,,0,QB,10,,49,,73,0,#N/A,#N/A,Opa-locka,FL,"Opa-locka, FL",#N/A,Duke,44,134,ACC,1/0/00,0,0,0,4.84,0,32.625,9.625,0,28,107,0,0
2011,Jesse Holley,DAL,27,16,0,0,0,0,0,0,0,0,,0,7,169,24.14,0,WR,17,,124,,74,213,#N/A,#N/A,Roselle,NJ,"Roselle, NJ",7203,North Carolina,70,97,ACC,1/8/1984,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Greg DeLong,JAX,27,4,1,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,85,,76,250,#N/A,#N/A,Orefield,PA,"Orefield, PA",18069,North Carolina,70,97,ACC,4/3/1973,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Jonathan Linton,BUF,26,14,2,0,0,0,0,0,38,112,2.95,0,3,8,2.67,1,RB,18,,90,,73,234,#N/A,#N/A,Allentown,PA,"Allentown, PA",18101,North Carolina,70,97,ACC,11/7/1974,0,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Zachary Hilton,NOR,25,15,6,0,0,0,0,0,0,0,,0,35,396,11.31,1,TE,46,,22,,80,262,#N/A,#N/A,Washington,DC,"Washington, DC",20001,North Carolina,70,97,ACC,7/2/1980,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,William Henderson,GNB,35,14,9,0,0,0,0,0,0,0,,0,12,62,5.17,0,RB,6,,120,,73,249,#N/A,#N/A,Richmond,VA,"Richmond, VA",23218,North Carolina,70,97,ACC,2/19/1971,3,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Deon Dyer,MIA,25,13,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,,159,,73,255,5,11,Chesapeake,VA,"Chesapeake, VA",23320,North Carolina,70,97,ACC,10/2/1977,4,2000,0,4.99,0,0,0,28,28,104,4.81,7.88
2008,Ronald Curry,OAK,29,13,10,0,0,0,0,0,1,1,1,0,19,181,9.53,2,WR,30,,97,,74,220,6,2,Hampton,VA,"Hampton, VA",23630,North Carolina,70,97,ACC,5/28/1979,7,2002,22,4.59,0,0,0,0,35,115,4.11,7.06
2010,Madison Hedgecock,NYG,29,4,3,0,0,0,0,0,0,0,,0,2,8,4,0,RB,1,,140,,75,266,6,3,Winston-Salem,NC,"Winston-Salem, NC",27151,North Carolina,70,97,ACC,8/27/1981,7,2005,0,4.87,0,0,0,29,32.5,108,4.26,7.42
